german,article,plural,level,glosses,example_de,example_en
Zeit,die,Zeiten,A1,Time,TBD,TBD
Mann,der,Männer,A1,Man,TBD,TBD
Hand,die,Hände,A1,Hand,TBD,TBD
Tag,der,Tage,A1,Day,TBD,TBD
Weg,der,Wege,A2,Way,TBD,TBD
Auge,das,Augen,A1,Eye,TBD,TBD
Sache,die,Sachen,A2,Thing,TBD,TBD
Kopf,der,Köpfe,A1,Head,TBD,TBD
Jahr,das,Jahre,A1,Year,TBD,TBD
Zimmer,das,Zimmer,A1,Room,TBD,TBD
Tür,die,Türen,A1,Door,TBD,TBD
Frau,die,Frauen,A1,Woman,TBD,TBD
Gesicht,das,Gesichter,A2,Face,TBD,TBD
Mutter,die,Mütter,A1,Mother,TBD,TBD
Leute,die,-,A2,People,TBD,TBD
Nacht,die,Nächte,A1,Night,TBD,TBD
Haus,das,Häuser,A1,House,TBD,TBD
Vater,der,Väter,A1,Father,TBD,TBD
Leben,das,Leben,A1,Life,TBD,TBD
Rücken,der,Rücken,A1,Back,TBD,TBD
Stimme,die,Stimmen,A2,Voice,TBD,TBD
Mädchen,das,Mädchen,A1,Girl,TBD,TBD
Ort,der,Orte,A1,Place,TBD,TBD
Junge,der,Jungen,A1,Boy,TBD,TBD
Auto,das,Autos,A1,Car,TBD,TBD
Seite,die,Seiten,A2,Side,TBD,TBD
Arm,der,Arme,A1,Arm,TBD,TBD
Kind,das,Kinder,A1,Child,TBD,TBD
Wort,das,Wörter,A2,Word,TBD,TBD
Moment,der,Momente,A2,Moment,TBD,TBD
Haar,das,Haare,A1,Hair,TBD,TBD
Fuß,der,Füße,A1,Foot,TBD,TBD
Wasser,das,-,A1,Water,TBD,TBD
Licht,das,Lichter,A2,Light,TBD,TBD
Welt,die,Welten,A2,World,TBD,TBD
Name,der,Namen,A2,Name,TBD,TBD
Freund,der,Freunde,A2,Friend,TBD,TBD
Fenster,das,Fenster,A1,Window,TBD,TBD
Körper,der,Körper,A2,Body,TBD,TBD
Tisch,der,Tische,A2,Table,TBD,TBD
Morgen,der,Morgen,A1,Morning,TBD,TBD
Bett,das,Betten,A2,Bed,TBD,TBD
Wand,die,Wände,A2,Wall,TBD,TBD
Straße,die,Straßen,A1,Street,TBD,TBD
Schule,die,Schulen,A2,School,TBD,TBD
Luft,die,-,A2,Air,TBD,TBD
