level,base_sentence,slot,case,correct_form,english
A1,"___ Mann liest ein Buch.",Definite Article,Nominativ,der,"The man reads a book."
A1,"___ Frau trinkt Wasser.",Definite Article,Nominativ,die,"The woman drinks water."
A1,"___ Kind schläft.",Definite Article,Nominativ,das,"The child sleeps."
A1,"Der Mann sieht ___ Hund.",Definite Article,Akkusativ,den,"The man sees the dog."
A1,"Die Frau kauft ___ Apfel.",Definite Article,Akkusativ,den,"The woman buys the apple."
A1,"Das Kind hat ___ Ball.",Definite Article,Akkusativ,den,"The child has the ball."
A1,"Ich helfe ___ Mann.",Definite Article,Dativ,dem,"I help the man."
A1,"Ich danke ___ Frau.",Definite Article,Dativ,der,"I thank the woman."
A1,"Ich gebe ___ Kind ein Buch.",Definite Article,Dativ,dem,"I give the child a book."
A1,"___ Hund frisst.",Definite Article,Nominativ,der,"The dog eats."
A1,"___ Katze schläft.",Definite Article,Nominativ,die,"The cat sleeps."
A1,"___ Auto ist neu.",Definite Article,Nominativ,das,"The car is new."
A1,"Der Junge sieht ___ Vogel.",Definite Article,Akkusativ,den,"The boy sees the bird."
A1,"Die Mutter besucht ___ Arzt.",Definite Article,Akkusativ,den,"The mother visits the doctor."
A1,"Der Vater kauft ___ Brot.",Definite Article,Akkusativ,das,"The father buys the bread."
A1,"Wir helfen ___ Lehrer.",Definite Article,Dativ,dem,"We help the teacher."
A1,"Wir folgen ___ Frau.",Definite Article,Dativ,der,"We follow the woman."
A1,"Ich höre ___ Musik.",Definite Article,Akkusativ,die,"I listen to the music."
A1,"___ Lehrer spricht.",Definite Article,Nominativ,der,"The teacher speaks."
A1,"___ Mädchen tanzt.",Definite Article,Nominativ,das,"The girl dances."
A2,"___ Nachbar repariert das Fahrrad.",Definite Article,Nominativ,der,"The neighbor repairs the bicycle."
A2,"___ Kollegin schreibt eine E-Mail.",Definite Article,Nominativ,die,"The colleague writes an email."
A2,"___ Kind erklärt das Spiel.",Definite Article,Nominativ,das,"The child explains the game."
A2,"Der Student liest ___ Artikel.",Definite Article,Akkusativ,den,"The student reads the article."
A2,"Die Touristin fotografiert ___ Gebäude.",Definite Article,Akkusativ,das,"The tourist photographs the building."
A2,"Der Hund sucht ___ Ball.",Definite Article,Akkusativ,den,"The dog looks for the ball."
A2,"Ich antworte ___ Lehrer.",Definite Article,Dativ,dem,"I answer the teacher."
A2,"Wir danken ___ Helferin.",Definite Article,Dativ,der,"We thank the helper."
A2,"Er vertraut ___ Freund.",Definite Article,Dativ,dem,"He trusts the friend."
A2,"___ Fahrer wartet an der Ampel.",Definite Article,Nominativ,der,"The driver waits at the traffic light."
A2,"___ Sängerin probt ein Lied.",Definite Article,Nominativ,die,"The singer rehearses a song."
A2,"___ Hotel bietet Frühstück.",Definite Article,Nominativ,das,"The hotel offers breakfast."
A2,"Der Koch schneidet ___ Zwiebel.",Definite Article,Akkusativ,die,"The cook cuts the onion."
A2,"Die Firma sucht ___ Mitarbeiter.",Definite Article,Akkusativ,den,"The company looks for the employee."
A2,"Das Baby trinkt ___ Milch.",Definite Article,Akkusativ,die,"The baby drinks the milk."
A2,"Ich folge ___ Weg.",Definite Article,Dativ,dem,"I follow the path."
A2,"Sie hilft ___ Nachbarn.",Definite Article,Dativ,dem,"She helps the neighbor."
A2,"Wir gratulieren ___ Gewinnerin.",Definite Article,Dativ,der,"We congratulate the winner."
A2,"___ Mechaniker prüft den Motor.",Definite Article,Nominativ,der,"The mechanic checks the engine."
A2,"___ Schauspieler spielt eine Rolle.",Definite Article,Nominativ,der,"The actor plays a role."
B1,"___ Besucher wartet, obwohl es regnet.",Definite Article,Nominativ,der,"The visitor waits although it is raining."
B1,"___ Kollegin bleibt heute länger im Büro.",Definite Article,Nominativ,die,"The colleague stays longer at the office today."
B1,"___ Unternehmen wächst seit einigen Jahren.",Definite Article,Nominativ,das,"The company has been growing for several years."
B1,"Der Fahrer parkt ___ Wagen vor dem Haus.",Definite Article,Akkusativ,den,"The driver parks the car in front of the house."
